,PERMIT_TYPE,REVIEW_TYPE,PROCESSING_TIME,BUILDING_FEE_PAID,ZONING_FEE_PAID,OTHER_FEE_PAID,SUBTOTAL_PAID,BUILDING_FEE_UNPAID,ZONING_FEE_UNPAID,OTHER_FEE_UNPAID,SUBTOTAL_UNPAID,BUILDING_FEE_WAIVED,ZONING_FEE_WAIVED,OTHER_FEE_WAIVED,SUBTOTAL_WAIVED,TOTAL_FEE,REPORTED_COST,COMMUNITY_AREA,CENSUS_TRACT,WARD,IS_PERMIT_VALID
2,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,79,450.0,50.0,0.0,500.0,0.0,0,0.0,0.0,0.0,0,0,0.0,500.0,35000.0,7,70700,32,1
5,PERMIT - SIGNS,SIGN PERMIT,70,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,3,830700,46,1
8,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,51,1101.66,50.0,0.0,1151.66,0.0,0,0.0,0.0,0.0,0,0,0.0,1151.66,261200.0,65,650200,13,1
9,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,74,864.0,75.0,626.0,1565.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1565.0,160000.0,5,50500,47,1
15,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,20,3000.0,75.0,0.0,3075.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3075.0,350000.0,16,161200,30,1
17,PERMIT - SIGNS,SIGN PERMIT,4,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,7,832500,2,1
18,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,28,281900,42,1
39,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,26,1596.07,75.0,1878.0,3549.07,0.0,0,0.0,0.0,0.0,0,0,0.0,3549.07,350000.0,42,420800,20,1
41,PERMIT - SIGNS,SIGN PERMIT,101,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,900.0,4,40202,40,1
42,PERMIT - SIGNS,SIGN PERMIT,70,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,1500.0,3,830700,46,1
43,PERMIT - SIGNS,SIGN PERMIT,70,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,1500.0,3,830700,46,1
44,PERMIT - SIGNS,SIGN PERMIT,70,50.0,200.0,0.0,250.0,0.0,0,0.0,0.0,0.0,0,0,0.0,250.0,1500.0,3,830700,46,1
60,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,20,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,11560.0,32,839100,42,1
65,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81500,42,1
67,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,37,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,8,81401,42,1
70,PERMIT - ELECTRIC WIRING,EASY PERMIT WEB,38,150.0,0.0,0.0,150.0,0.0,0,0.0,0.0,0.0,0,0,0.0,150.0,1000.0,42,420300,20,1
72,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,201,627.8,50.0,1000.0,1677.8,0.0,0,0.0,0.0,0.0,0,0,0.0,1677.8,100000.0,73,730600,34,1
